 
 SAP2000 v24.1.0 File: TRUSS-KASSIMALI-115-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  inelastic-0.002
 FUNCTION  axial-1:  Frame 1  Station 1  Axial Force    
 FUNCTION  axial-0:  Frame 0  Station 1  Axial Force    
 FUNCTION  axial-2:  Frame 2  Station 1  Axial Force    
 FUNCTION  axial-3:  Frame 3  Station 1  Axial Force    
 FUNCTION  axial-4:  Frame 4  Station 1  Axial Force    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
                axial-1     axial-0     axial-2     axial-3     axial-4
       0.61  -15589.594   -65686.68  -19899.963  -25633.825  -28345.769
      0.612  -11440.386   -67179.98  -16888.308  -26216.576  -27693.105
      0.614   -7082.761   -68346.78  -13707.907  -26671.913  -26985.823
      0.616  -2541.9638   -69185.81  -10382.415  -26999.342  -26234.556
      0.618  2155.01266   -69697.63   -6936.637  -27199.075  -25450.066
       0.62   6979.6844   -69884.59   -3396.335  -27272.037  -24643.192
      0.622  11893.0419    -69747.9   210.85311  -27218.691  -23819.225
      0.624   16836.613   -69284.58  3854.52414  -27037.885  -22972.314
      0.626  21742.3252   -68490.53  7502.88797   -26728.01  -22091.144
      0.628  26542.4574   -67363.45  11124.1657  -26288.175  -21164.646
       0.63  31170.2809   -65902.91  14686.8721   -25718.21   -20182.13
      0.632    35560.69   -64110.33  18160.0957  -25018.664  -19133.408
      0.634   39650.817   -61988.95   21513.772  -24190.808  -18008.908
      0.636    43380.63   -59543.85  24718.9505  -23236.623  -16799.795
      0.638   46693.497    -56781.9  27748.0494   -22158.79  -15498.071
       0.64   49536.723   -53711.74  30575.0991  -20960.678  -14096.679
      0.642   51859.377   -50342.84    33175.65  -19645.986  -12587.981
      0.644   53610.094   -46684.64   35526.666  -18218.397  -10962.248
      0.646   54740.242   -42747.33   37607.057  -16681.884    -9209.37
      0.648   55207.049   -38542.63   39398.187  -15041.026   -7320.563
       0.65   54974.011   -34083.76   40884.042   -13300.98   -5288.465
      0.652   54011.234  -29385.344   42051.381  -11467.452  -3107.2092
      0.654   52295.722  -24463.334    42889.85   -9546.667  -772.48952
      0.656   49811.587  -19334.923   43392.075   -7545.336  1718.39431
      0.658   46550.203  -14018.447   43553.735   -5470.613  4366.50602
       0.66    42510.29   -8533.286   43373.589   -3330.063  7171.25868
      0.662   37698.696  -2900.0049   42853.588  -1131.7092  10129.9527
      0.664   32131.109  2859.51898    41998.94  1115.90985  13237.3338
      0.666   25831.135  8722.45875   40817.973  3403.88634  16486.1047
      0.668  18829.3019  14665.4145   39321.953   5723.0886  19867.4555
       0.67  11162.7703  20664.5426   37524.987  8064.21176  23371.1458
      0.672  2874.98408  26695.6878   35443.879  10417.8294  26985.6006
      0.674    -5984.74   32734.517    33097.98  12774.4457  30698.0204
      0.676   -15361.68   38756.656   30509.004  15124.5486   34494.505
      0.678  -25196.218   44737.821  27700.8251  17458.6618   38360.185
       0.68   -35424.41   50653.957  24699.2566  19767.3978    42279.37
      0.682   -45977.12   56480.898  21531.9875  22041.3262   46234.814
      0.684   -56779.18   62194.034  18228.5018  24270.8426   50207.001
      0.686   -67751.59   67768.914  14819.6257  26446.4053   54175.216
      0.688   -78813.74   73181.853  11337.0629   28558.772   58118.627
       0.69   -89884.16   78410.067  7813.09781  30599.0506   62016.485
      0.692  -100881.29   83431.794  4280.29449   32558.749   65848.324
      0.694  -111724.23   88226.419   771.19378   34429.822   69594.158
      0.696  -122333.57   92774.584  -2681.9891   36204.716   73234.679
      0.698  -130000.14     97058.3   -6049.319    37876.41   76752.824
        0.7  -130000.15  101061.044   -9309.669   39438.456   80139.157
      0.702  -130000.16  104766.461  -12453.089   40884.473   83391.602
      0.704  -130000.17  108157.063  -15473.648   42207.634   86507.261
      0.706  -130000.18  111215.718  -18365.147   43401.256   89480.999
      0.708  -130000.19  113927.136  -21121.663    44459.37   92308.078
       0.71   -130000.2   116277.95  -23737.566   45376.761   94984.165
      0.712  -130000.21  118256.795  -26207.529   46148.993   97505.341
