 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-INELASTIC-1PHASE-LL1  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Nonlinear - 0.002
 FUNCTION  disp-1-z:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-z  moment-0-0  moment-0-1  moment-1-1
       0.78     0.00603   71640.757   -95067.23   96000.016
      0.782      0.0061   72320.873   -95865.22   96000.016
      0.784     0.00609   72261.853   -95771.62    95971.39
      0.786     0.00602   71341.184   -94557.75   94047.947
      0.788     0.00586   69486.653   -92073.22   90409.784
       0.79     0.00564   66813.266   -88516.99   85013.289
      0.792     0.00535   63351.756   -83896.08   78123.644
      0.794     0.00501   59249.704   -78430.64   69895.813
      0.796     0.00462   54620.265   -72254.98   60655.349
      0.798     0.00421   49639.234   -65615.99   50678.997
        0.8     0.00378   44461.277    -58710.2   40334.173
      0.802     0.00334   39268.381   -51787.77  29939.7747
      0.804     0.00292   34213.628   -45046.99  19836.9466
      0.806     0.00253  29453.2403   -38700.67  10310.9886
      0.808     0.00216  25116.0973   -32917.14  1640.72494
       0.81     0.00185  21319.7684  -27855.887   -5955.055
      0.812     0.00158  18149.5126  -23628.475  -12293.144
      0.814     0.00138  15667.9277  -20320.009  -17258.193
      0.816     0.00123  13902.9606  -17966.476  -20786.669
      0.818     0.00114  12855.0099  -16569.397  -22883.702
       0.82     0.00111  12491.5603  -16084.651  -23609.723
      0.822     0.00113  12752.1181  -16432.175  -23089.289
      0.824      0.0012  13546.1063  -17490.738  -21500.783
      0.826      0.0013  14761.7168   -19111.62  -19069.973
      0.828     0.00143  16270.5906  -21123.399  -16051.907
       0.83     0.00157  17935.2354  -23342.967  -12722.865
      0.832     0.00171  19613.7347  -25580.934   -9365.674
      0.834     0.00184  21166.8383  -27651.763   -6259.616
      0.836     0.00194  22463.0242  -29379.992   -3667.128
      0.838     0.00202  23384.5103  -30608.655  -1824.2458
       0.84     0.00206   23831.497  -31204.626  -930.20289
      0.842     0.00205  23726.3944  -31064.498   -1140.462
      0.844     0.00199  23016.3829  -30117.809  -2560.4432
      0.846     0.00188  21675.3735  -28329.802   -5242.495
      0.848     0.00171  19704.4123  -25701.849   -9184.392
       0.85      0.0015  17131.2292  -22270.942  -14330.777
      0.852     0.00124  14008.4334  -18107.212  -20576.354
      0.854   9.389E-04  10410.8737  -13310.467  -27771.485
      0.856   6.073E-04  6431.96952    -8005.26   -35729.28
      0.858   2.530E-04  2179.43887  -2335.2205   -44234.35
       0.86  -1.145E-04  -2229.5792  3543.47125   -53052.38
      0.862  -4.847E-04    -6671.97  9466.65768   -61937.17
      0.864  -8.472E-04  -11022.321  15267.1273   -70637.87
      0.866    -0.00119   -15159.93  20783.9379   -78913.09
      0.868    -0.00151  -18975.489  25871.3504    -86544.2
       0.87    -0.00179   -22375.48  30404.6722   -93344.19
