 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Linear-modal-0.002
 FUNCTION  disp-z-1:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-z-1  moment-0-0  moment-0-1  moment-1-1
      0.362  -2.006E-04  -2407.1092  3209.47888   -4814.218
      0.364  -2.127E-04  -2552.0104  3402.68054   -5104.021
      0.366  -1.168E-04  -1401.6432  1868.85763  -2803.2864
      0.368   8.401E-05  1008.09338  -1344.1245  2016.18676
       0.37   3.824E-04  4588.40713   -6117.876  9176.81426
      0.372   7.669E-04  9202.48005  -12269.973  18404.9601
      0.374     0.00122  14672.2854  -19563.047  29344.5709
      0.376     0.00173  20787.0146  -27716.019   41574.029
      0.378     0.00228  27312.7309   -36416.97   54625.462
       0.38     0.00283   34002.806   -45337.07   68005.611
      0.382     0.00338   40591.648    -54122.2   81183.297
      0.384      0.0039   46755.799   -62341.06   93511.597
      0.386     0.00435   52179.673    -69572.9  104359.347
      0.388     0.00472   56585.705   -75447.61  113171.409
       0.39     0.00498    59745.38   -79660.51   119490.76
      0.392     0.00512   61487.965   -81983.95   122975.93
      0.394     0.00514   61706.584   -82275.45  123413.168
      0.396     0.00503   60361.458   -80481.94  120722.916
      0.398     0.00479   57480.221   -76640.29  114960.442
        0.4     0.00443   53155.356   -70873.81  106310.712
      0.402     0.00396   47563.907   -63418.54   95127.815
      0.404     0.00342   41032.428    -54709.9   82064.855
      0.406     0.00283   33945.512   -45260.68   67891.024
      0.408     0.00223   26703.501   -35604.67   53407.002
       0.41     0.00164  19705.1067  -26273.476   39410.213
      0.412     0.00111  13330.4653  -17773.954  26660.9306
      0.414   6.604E-04  7925.33127  -10567.108  15850.6625
      0.416   3.156E-04  3787.06091   -5049.415  7574.12182
